,jmeno,prijimeni,telefonni_cislo,cislo_zamestnance,Mesto,plat
3,Jennifer,Brown,775 545 190,86,Liberec,
5,Robert,Macias,+421 49 929 6856,88,Liberec,
10,Ivan,Bartoš,603 226 051,99,Liberec,
15,Jindřich,Howell,+421 39 043 0948,10,Plzen,
16,Alexander,Martinez,721 195 689,13,Plzen,
31,Marcel,Hájek,+421 902 928 669,35,Praha,
39,Karolína,Short,721 589 083,53,Praha,
40,Michelle,Vlčková,+421 41 720 7806,54,Praha,
43,John,Bailey,775 021 116,58,Praha,
44,William,Shelton,+421 47 745 8219,60,Praha,
45,Miroslava,Veselá,774 029 254,62,Praha,
48,Nathan,Svoboda,728 710 923,66,Praha,
51,Robert,Říha,727 351 984,72,Praha,
